Family,Species,Authority,Common Name,Respondents (n),Mobility (mean),Mobility (sd),Wingspan,Range size,Larval host breadth,Conservation status
Lycaenidae,Satyrium saepium,(Boisduval),Hedgerow Hairstreak,4,3.25,1.50,28,831810,2,5
Lycaenidae,Satyrium semiluna,Klots,Halfmoon Hairstreak,5,3.40,1.14,,,,4
Lycaenidae,Satyrium sylvinus,(Boisduval),Sylvan Hairstreak,4,3.50,1.29,27.5,1034204,2,5
Lycaenidae,Satyrium titus,(Fabricius),Coral Hairstreak,26,4.54,1.58,28,3293013,3,4
Nymphalidae,Speyeria aphrodite,(Fabricius),Aphrodite Fritillary,26,6.54,1.84,62,2702042,3,5
Nymphalidae,Speyeria atlantis,(W. H. Edwards),Atlantis Fritillary,27,7.00,1.69,57,4081210,3,5
Nymphalidae,Speyeria callippe,(Boisduval),Callippe Fritillary,10,6.80,1.14,59.5,1398973,3,5
Nymphalidae,Speyeria cybele,(Fabricius),Great Spangled Fritillary,41,7.10,1.69,75,3174914,3,5
Nymphalidae,Speyeria edwardsii,(Reakirt),Edwards' Fritillary,3,6.33,0.58,65,627286,2,5
Nymphalidae,Speyeria egleis,(Behr),Great Basin Fritillary ,4,5.75,2.06,,574959,,5
Nymphalidae,Speyeria hesperis,(W. H. Edwards),Northwestern Fritillary,6,5.67,1.97,51.5,,,5
Nymphalidae,Speyeria hydaspe,(Boisduval),Hydaspe Fritillary,9,6.67,1.22,52,803909,3,4
Nymphalidae,Speyeria idalia,(Drury),Regal Fritillary,4,4.50,3.70,79,1228735,3,3
Nymphalidae,Speyeria mormonia,(Boisduval),Mormon Fritillary,9,5.56,2.01,45,1230288,3,5
Nymphalidae,Speyeria zerene,(Boisduval),Zerene Fritillary,8,6.88,0.64,57,1106855,,5
Hesperiidae,Staphylus hayhurstii,(W. H. Edwards),Hayhurst's Scallopwing,1,3.00,,21.5,1082803,1,5
Lycaenidae,Strymon melinus,(Hübner),Grey Hairstreak,21,6.00,1.79,26,,3,5
Hesperiidae,Thorybes bathyllus,(J. E. Smith),Southern Cloudywing,2,5.00,0.00,35,1482360,3,5
Hesperiidae,Thorybes pylades,(Scudder),Northern Cloudywing,24,4.79,2.11,33,4089033,3,5
Hesperiidae,Thymelicus lineola,(Ochsenheimer),European Skipper,28,5.50,2.59,22.5,,3,5
Hesperiidae,Urbanus proteus,(Linnaeus),Long-tailed Skipper,1,7.00,,41.5,1500364,3,5
Nymphalidae,Vanessa annabella,(W. D. Field),West Coast Lady,9,7.67,2.12,43.5,,3,5
Nymphalidae,Vanessa atalanta,(Linnaeus),Red Admiral,40,8.31,1.59,51,,3,5
Nymphalidae,Vanessa cardui,(Linnaeus),Painted Lady,42,8.63,1.60,54,7848075,3,5
Nymphalidae,Vanessa virginiensis,(Drury),American Lady,33,8.09,1.66,46.5,,3,5
Hesperiidae,Wallengrenia egeremet,(Scudder),Northern Broken-dash,10,4.30,1.49,26.5,1618906,3,5
Pieridae,Zerene cesonia,(Stoll),Southern Dogface,4,8.00,0.82,53.5,,,5
