Family,Species,Authority,Common Name,Respondents (n),Mobility (mean),Mobility (sd),Wingspan,Range size,Larval host breadth,Conservation status
Lycaenidae,Echinargus isola,(Reakirt),Reakirt's Blue,1,3.00,,19.5,,3,5
Hesperiidae,Epargyreus clarus,(Cramer),Silver-spotted Skipper,32,6.19,2.15,41,3236771,3,5
Nymphalidae,Erebia disa,(Thunberg),Disa Alpine,2,4.50,0.71,39.5,,,5
Nymphalidae,Erebia discoidalis,(W. Kirby),Red-disked Alpine,8,4.13,2.23,39.5,3104757,3,5
Nymphalidae,Erebia epipsodea,Butler,Common Alpine,10,5.20,1.75,39.5,1811730,3,5
Nymphalidae,Erebia fasciata,Butler,Banded Alpine,2,4.50,0.71,45.5,1966141,,5
Nymphalidae,Erebia lafontainei,Troubridge & Philip,Reddish Alpine,2,4.50,0.71,37,,,3
Nymphalidae,Erebia mackinleyensis,Gunder,Mt. Mckinley Alpine,3,5.67,1.15,47,,3,4
Nymphalidae,Erebia magdalena,Strecker,Magdalena Alpine,3,5.33,1.53,43,928564,3,5
Nymphalidae,Erebia mancinus,E. Doubleday,Taiga Alpine,4,4.50,1.29,39,,,5
Nymphalidae,Erebia occulta,Roos & Kimmich,Scree Alpine,2,3.50,2.12,36.5,317815,,4
Nymphalidae,Erebia pawloskii,Ménétriés,Yellow Dotted Alpine,4,3.25,0.50,,,,5
Nymphalidae,Erebia rossii,(J. Curtis),Ross's Alpine,4,4.75,0.96,37.5,2840903,2,5
Nymphalidae,Erebia vidleri,Elwes,Vidler's Alpine,3,5.67,0.58,40,155506,,4
Nymphalidae,Erebia youngi,W. Holland,Four-dotted Alpine,2,4.50,0.71,39.5,,,5
Lycaenidae,Erora laeta,(W. H. Edwards),Early Hairstreak,4,2.50,1.29,22.5,749446,2,
Hesperiidae,Erynnis afranius,(Lintner),Afranius Duskywing,2,5.00,1.41,28,975700,3,5
Hesperiidae,Erynnis baptisiae,(W. Forbes),Wild Indigo Duskywing,9,5.56,1.42,31.5,1356612,3,5
Hesperiidae,Erynnis brizo,(Boisduval & Le Conte),Sleepy Duskywing,6,4.00,1.41,31.5,2228075,1,5
Hesperiidae,Erynnis horatius,(Scudder & Burgess),Horace's Duskywing,1,4.00,,33.5,1515947,2,5
Hesperiidae,Erynnis icelus,(Scudder & Burgess),Dreamy Duskywing,30,4.27,1.55,26.5,3544127,3,5
Hesperiidae,Erynnis juvenalis,(Fabricius),Juvenal's Duskywing,21,5.00,1.48,33.5,646405,2,5
Hesperiidae,Erynnis lucilius,(Scudder & Burgess),Columbine Duskywing,11,4.00,1.84,25,3319581,3,4
Hesperiidae,Erynnis martialis,(Scudder),Mottled Duskywing,6,2.33,1.51,27,1363841,3,3
Hesperiidae,Erynnis pacuvius,(Lintner),Pacuvius Duskywing,3,4.00,2.00,31,689296,2,5
Hesperiidae,Erynnis persius,(Scudder),Persius Duskywing,11,3.64,1.91,27.5,3319581,2,5
Hesperiidae,Erynnis propertius,(Scudder & Burgess),Propertius Duskywing,6,5.17,1.17,34,278977,2,5
Pieridae,Euchloe ausonides,(Lucas),Large Marble,13,6.08,2.10,39,3360715,3,5
Pieridae,Euchloe creusa,(E. Doubleday),Northern Marble,5,5.60,1.52,30,1969322,3,5
