CheckListKey,Genus,Species,Subspecies,CombinedLatin,CommonName,Show,NWquadrant,NEquadrant,SWquadrant,SEquadrant,Kind,Revised,Author,Year,Changed,By,Comment,CountTotal,Countys,Endangered,Synonym,Family,GCKey,grp,SortOrder,tmp_SitesReporting,tmp_TotalCount,tmp_HighCountSite,tmp_HighCount,tmp_HighCountDate,tmp_HighCtyAbbr
4220,Colias,interior,,Colias interior,Pink-edged Sulphur,FALSE,,,,,B,F,Scudder,1862,,,,0,0,Species of possible occurrence in Ohio,,,,,364,0,0,,0,,
4224,Colias,cesonia,cesonia,Colias cesonia cesonia,Southern Dogface,TRUE,N,N,N,N,B,T,Stoll,1790,,,,29,7,"irregular immigrant, rare",Colias cesonia cesonia,42,40,0,368  a,2,2,Aullwood Center,1,7/21/2011,Mont
4228  a,Phoebis,sennae,eubule,Phoebis sennae eubule,Cloudless Sulphur,TRUE,N,N,,,B,T,Linnaeus,1767,,,,769,45,"irregular immigrant, rare",,42,40,0,371  b,6,22,McLean Teddy Bear Park,10,10/5/2011,Alln
4229,Phoebis,philea,philea,Phoebis philea philea,Orange-barred Sulphur,TRUE,N,N,N,N,B,T,Johansson,1763,,,,0,0,"stray, rare",,42,40,0,372  a,0,0,,0,,
4237,Eurema,lisa,lisa,Eurema lisa lisa,Little Yellow,TRUE,,,,,B,F,Boisduval & LeConte,1829,,,,705,51,"rare immigrant, rare to common, southernly",Little Sulphur,42,40,0,383  a,3,18,Moseley Barrens/Kitty Todd,4,9/25/2011,Luca
4242,Eurema,nicippe,,Eurema nicippe,Sleepy Orange,TRUE,,N,,,B,T,Cramer,1779,,,,1134,9,"regular immigrant, rare to uncommon, southernly",,42,40,0,388,1,47,Blendon Woods,9,8/30/2011,Fran
4246,Eurema,mexicana,,Eurema mexicana,Mexican Sulphur,FALSE,,,,,B,F,Boisduval,1836,,,,0,0,"stray, rare",E. mexicanum,,,,380,0,0,,0,,
4248,Nathalis,iole,,Nathalis iole,Dainty Sulphur,FALSE,N,N,N,N,B,F,Boisduval,1836,,,,0,0,"irregular immigrant or stray, rare",,42,40,0,389,0,0,,0,,
4249,Feniseca,tarquinius,tarquinius,Feniseca tarquinius tarquinius,Harvester,TRUE,,,,,B,T,Fabricius,1793,,,,135,27,"res., uncommon to rare, localized",,43,40,0,391  a,6,16,Oak Openings-Sand Pits,4,7/25/2011,Luca
4251  a,Lycaena,phlaeas,americana,Lycaena phlaeas americana,American Copper,TRUE,,,,,B,F,Harris,1862,,,,5601,60,"res., possibly naturalized, uncommon to common",,43,40,0,393  a,11,611,Moseley Barrens/Kitty Todd,49,9/18/2011,Luca
4256,Lycaena,hyllus,,Lycaena hyllus,Bronze Copper,TRUE,,,,,B,T,Cramer,1775,,,,545,42,"res., uncommon, northernly",Hyllolycaena hyllus,43,40,0,398,2,5,Wolf Creek Environm'l Center,2,8/7/2011,Medi
4260,Lycaena,epixanthe,epixanthe,Lycaena epixanthe epixanthe,Bog Copper,FALSE,,,,,B,T,Boisduval & LeConte,1833,,,,0,0,"EXTIRPATED (probably), res., rare",Lycaena e. e.,43,40,0,402  a,,,,,,
4261,Lycaena,dorcas,dorcas,Lycaena dorcas dorcas,Dorcas Copper,FALSE,,,,,B,T,W. Kirby,1837,,,,0,0,"EXTIRPATED (probably), res., rare",Lycaena d. d.,43,40,0,403  a,,,,,,
4262,Lycaena,helloides,,Lycaena helloides,Purplish Copper,TRUE,,N,N,N,B,T,Boisduval,1852,,,,2,1,"res., rare, localized @ low densities",Lycaena helloides,43,40,0,404,0,0,,0,,Hock
4270,Atlides,halesus,halesus,Atlides halesus halesus,Great Purple Hairstreak,FALSE,,,,,B,T,Cramer,1777,,,,0,0,"stray, rare",,43,40,0,412  a,0,0,,0,,
4275,Satyrium,titus,titus,Satyrium titus titus,Coral Hairstreak,TRUE,,,,,B,T,Fabricius,1793,,,,392,28,"res., uncommon to common",Harkenclenus t. t.,43,40,0,417  a,9,44,Moseley Barrens/Kitty Todd,12,7/8/2011,Luca
4275  a,Satyrium,titus,mopsus,Satyrium titus mopsus,Coral Hairstreak,FALSE,,,,,B,T,Hubner,1818,,,unglaciated subspecies,0,0,"res., uncommon to common",Harkenclenus t. m.,,,,417  b,0,0,,0,,
4278,Satyrium,acadicum,acadicum,Satyrium acadicum acadicum,Acadian Hairstreak,TRUE,,,,N,B,T,W. H. Edwards,1862,,,,633,11,"res., rare to uncommon, northernly",,43,40,0,420  a,4,35,Terra Vista,16,6/22/2011,Cuyh
4281,Satyrium,edwardsii,,Satyrium edwardsii,Edwards' Hairstreak,TRUE,N,N,,N,B,T,Grote & Robinson,1867,,,,99,8,"res., rare, localized",,43,40,0,423,2,18,Kitty Todd Nature Preserve,11,7/3/2011,Luca
4282  a,Satyrium,calanus,falacer,Satyrium calanus falacer,Banded Hairstreak,TRUE,,,,,B,T,Godart,1824,,,,625,66,"res., uncommon to common",,43,40,0,424  b,15,63,Jude's Butterfly Trail,8,6/30/2011,Mont
4283,Satyrium,caryaevorum,,Satyrium caryaevorum,Hickory Hairstreak,TRUE,,,N,N,B,T,McDunnough,1942,,,,144,22,"res., rare, localized @ low densities",,43,40,0,425,2,2,Terra Vista,1,6/29/2011,Cuyh
4285  a,Satyrium,liparops,strigosum,Satyrium liparops strigosum,Striped Hairstreak,TRUE,,,,,B,T,Harris,1862,,,,121,26,"res., uncommon to rare",,43,40,0,427  b,2,2,Camp Asbury,1,6/26/2011,Port
4299,Calycopis,cecrops,,Calycopis cecrops,Red-banded Hairstreak,TRUE,N,N,,,B,T,Fabricius,1793,,,,395,20,"res., rare to uncommon, localized @ low densities",,43,40,0,441,9,94,Shawnee Bridal Trail #5 - NW,15,7/27/2011,Scit
